epoch,train_loss
1,0.038269275426864625
2,0.014762146934866905
3,0.006817131713032723
4,0.0047501190155744555
5,0.003891105188056827
6,0.003353258913382888
7,0.002979838261380792
8,0.0026730204820632933
9,0.0024222693908959626
10,0.002219219671562314
11,0.002045448956079781
12,0.0019017974110320211
13,0.001777334127575159
14,0.001671546253375709
15,0.0015761605398729444
16,0.0014900077246129512
17,0.00141129956766963
18,0.0013400682555511595
19,0.0012739684190601112
20,0.0012120844181627035
21,0.0011549078281968832
22,0.001102750914171338
23,0.0010526168951764702
24,0.0010081096850335597
25,0.0009631233694963157
26,0.0009206934315152466
27,0.0008810243881307542
28,0.0008440046515315771
29,0.0008085488183423876
30,0.0007756713936105371
31,0.0007446119626984
32,0.0007146121123805642
33,0.0006873465585522354
34,0.0006606152825988829
35,0.0006355242081917822
36,0.0006117015019990504
37,0.0005883465227670968
38,0.0005691228434443474
39,0.0005453704469837249
40,0.000523559889756143
41,0.0005030186618678272
42,0.00048533455608412625
43,0.00046605407423339784
44,0.0004522907703649253
45,0.0004342412534169853
46,0.00041719392384402456
47,0.00040216872585006056
48,0.00038811470475047825
49,0.0003746886148583144
50,0.0003616620427928865
51,0.00034918823558837173
52,0.00033734889677725733
53,0.0003255416192114353
54,0.0003141190721653402
55,0.00030412243702448907
56,0.00029309154581278564
57,0.00028324116789735855
58,0.00027428186894394455
59,0.00026539404969662427
60,0.0002645751491654664
61,0.00026564048393629494
62,0.00026408937200903893
63,0.00023731040698476137
64,0.00022747152158990503
65,0.0002207549603190273
66,0.00021331536979414523
67,0.00020640154147986322
68,0.00020076361659448593
69,0.0001943134778412059
70,0.0001884546192595735
71,0.00018232618982437997
72,0.00017709572275634856
73,0.00017244347126688808
74,0.0001675317648332566
75,0.00016283332114107907
76,0.0001589299355400726
77,0.0001551237729145214
78,0.00015067610575351863
79,0.00014650288200937213
80,0.000142659776029177
81,0.00013881073181983084
82,0.00013502851477824153
83,0.00013146037282422184
84,0.00012805058911908419
85,0.0001245411797426641
86,0.00012154489132808522
87,0.00011880053224740549
88,0.0001163868407602422
89,0.0001132611416396685
90,0.00011007379251532256
91,0.00010731842316454276
92,0.00010504673438845202
93,0.00010222253442043439
94,0.00010019697964889929
95,0.00010254132596310229
96,0.00011335836141370237
97,0.00010116483084857464
98,9.997398179257289e-05
99,0.00012027819338254631
100,0.00010922096448484808
